@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric
@attribute llegaAPlataforma {no,si}

@data
0,961.690063,4.81,34.537098,no
50,961.690063,4.81,34.537098,no
100,961.690063,4.81,34.537098,no
150,961.690063,4.81,34.537098,no
200,961.690063,4.81,34.537098,no
250,961.690063,4.81,34.537098,no
300,961.690063,4.81,34.537098,no
350,961.690063,4.81,34.537098,no
400,961.690063,4.81,34.537098,no
450,961.690063,4.81,34.537098,no
500,961.690063,4.81,34.537098,no
550,961.690063,4.81,34.537098,no
600,961.690063,4.81,34.537098,no
650,961.690063,4.81,34.537098,no
700,961.690063,4.81,34.537098,no
750,961.690063,4.81,34.537098,no
800,961.690063,4.81,34.537098,no
850,961.690063,4.81,34.537098,no
900,961.690063,4.81,34.537098,no
950,961.690063,4.81,34.537098,si
1000,961.690063,4.81,34.537098,si
1050,961.690063,4.81,34.537098,si
1100,961.690063,4.81,34.537098,si
1150,961.690063,4.81,34.537098,si
1200,961.690063,4.81,34.537098,si
1250,961.690063,4.81,34.537098,si
1300,961.690063,4.81,34.537098,si
1350,961.690063,4.81,34.537098,si
1400,961.690063,4.81,34.537098,no
1450,961.690063,4.81,34.537098,no
1500,961.690063,4.81,34.537098,no
1550,961.690063,4.81,34.537098,no
1600,961.690063,4.81,34.537098,no
1650,961.690063,4.81,34.537098,no
1700,961.690063,4.81,34.537098,no
1750,961.690063,4.81,34.537098,no
1800,961.690063,4.81,34.537098,no
1850,961.690063,4.81,34.537098,no
1900,961.690063,4.81,34.537098,no
1950,961.690063,4.81,34.537098,no
2000,961.690063,4.81,34.537098,no
2050,961.690063,4.81,30.91947,no
2100,961.690063,4.81,34.537098,no
2150,961.690063,4.81,33.551113,no
2200,961.690063,4.81,34.537098,no
2250,961.690063,4.81,34.537098,no
2300,961.690063,4.81,29.49387,no
2350,961.690063,4.81,34.537098,no
2400,961.690063,4.81,29.763086,no
2450,961.690063,4.81,27.179052,no
2500,961.690063,4.81,30.46575,no
0,2659.23999,36.778156,67.657173,no
50,2659.23999,36.778156,68.152809,no
100,2659.23999,36.778156,68.152809,no
150,2659.23999,36.778156,68.152809,no
200,2659.23999,36.778156,68.152809,no
250,2659.23999,36.778156,68.152809,no
300,2659.23999,36.778156,68.152809,no
350,2659.23999,36.778156,68.152809,no
400,2659.23999,36.778156,68.152809,no
450,2659.23999,36.778156,68.152809,no
500,2659.23999,36.778156,68.152809,no
550,2659.23999,36.778156,68.152809,no
600,2659.23999,36.778156,68.152809,no
650,2659.23999,36.778156,68.152809,no
700,2659.23999,36.778156,68.152809,no
750,2659.23999,36.778156,68.152809,no
800,2659.23999,36.778156,68.152809,no
850,2659.23999,36.778156,68.152809,si
900,2659.23999,36.778156,68.152809,si
950,2659.23999,36.778156,68.152809,si
1000,2659.23999,36.778156,68.152809,si
1050,2659.23999,36.778156,68.152809,no
1100,2659.23999,36.778156,68.152809,no
1150,2659.23999,36.778156,68.152809,no
1200,2659.23999,36.778156,68.152809,no
1250,2659.23999,36.778156,68.152809,no
1300,2659.23999,36.778156,68.152809,no
1350,2659.23999,36.778156,68.152809,no
1400,2659.23999,36.778156,68.152809,no
1450,2659.23999,36.778156,68.152809,no
1500,2659.23999,36.778156,68.152809,no
1550,2659.23999,36.778156,68.152809,no
1600,2659.23999,36.778156,68.152809,no
1650,2659.23999,36.778156,68.152809,no
1700,2659.23999,36.778156,68.152809,no
1750,2659.23999,36.778156,68.152809,no
1800,2659.23999,36.778156,68.152809,no
1850,2659.23999,36.778156,68.152809,no
1900,2659.23999,36.778156,68.152809,no
1950,2659.23999,36.778156,68.152809,no
2000,2659.23999,36.778156,68.152809,no
2050,2659.23999,36.778156,68.152809,no
2100,2659.23999,36.778156,68.152809,no
2150,2659.23999,36.778156,68.152809,no
2200,2659.23999,36.778156,68.152809,no
2250,2659.23999,36.778156,68.152809,no
2300,2659.23999,36.778156,68.152809,no
2350,2659.23999,36.778156,68.152809,no
2400,2659.23999,36.778156,68.152809,no
0,1623.333862,13.705362,57.549355,no
50,1623.333862,13.705362,57.549355,no
100,1623.333862,13.705362,57.549355,no
150,1623.333862,13.705362,57.549355,no
200,1623.333862,13.705362,57.549355,no
250,1623.333862,13.705362,57.549355,no
300,1623.333862,13.705362,57.549355,no
350,1623.333862,13.705362,57.549355,no
400,1623.333862,13.705362,57.549355,no
450,1623.333862,13.705362,57.549355,no
500,1623.333862,13.705362,57.549355,no
550,1623.333862,13.705362,57.549355,no
600,1623.333862,13.705362,57.549355,no
650,1623.333862,13.705362,57.549355,no
700,1623.333862,13.705362,57.549355,no
750,1623.333862,13.705362,57.549355,no
800,1623.333862,13.705362,57.549355,no
850,1623.333862,13.705362,57.549355,no
900,1623.333862,13.705362,57.549355,no
950,1623.333862,13.705362,57.549355,no
1000,1623.333862,13.705362,57.549355,no
1050,1623.333862,13.705362,57.549355,si
1100,1623.333862,13.705362,57.549355,si
1150,1623.333862,13.705362,57.549355,si
1200,1623.333862,13.705362,57.549355,si
1250,1623.333862,13.705362,57.549355,si
1300,1623.333862,13.705362,57.549355,si
1350,1623.333862,13.705362,57.549355,no
1400,1623.333862,13.705362,57.549355,no
1450,1623.333862,13.705362,57.549355,no
1500,1623.333862,13.705362,57.549355,no
1550,1623.333862,13.705362,57.549355,no
1600,1623.333862,13.705362,57.549355,no
1650,1623.333862,13.705362,57.549355,no
1700,1623.333862,13.705362,57.549355,no
1750,1623.333862,13.705362,57.549355,no
1800,1623.333862,13.705362,57.549355,no
1850,1623.333862,13.705362,57.549355,no
1900,1623.333862,13.705362,57.549355,no
1950,1623.333862,13.705362,57.549355,no
2000,1623.333862,13.705362,57.549355,no
2050,1623.333862,13.705362,57.549355,no
2100,1623.333862,13.705362,57.549355,no
2150,1623.333862,13.705362,57.549355,no
2200,1623.333862,13.705362,57.549355,no
2250,1623.333862,13.705362,57.549355,no
2300,1623.333862,13.705362,57.549355,no
2350,1623.333862,13.705362,57.549355,no
2400,1623.333862,13.705362,57.549355,no
2450,1623.333862,13.705362,57.549355,no
2500,1623.333862,13.705362,57.549355,no
2550,1623.333862,13.705362,55.456406,no
2600,1623.333862,13.705362,57.549355,no
0,2655.914307,36.686226,62.189655,no
50,2655.914307,36.686226,62.189655,no
100,2655.914307,36.686226,62.189655,no
150,2655.914307,36.686226,62.189655,no
200,2655.914307,36.686226,62.189655,no
250,2655.914307,36.686226,62.189655,no
300,2655.914307,36.686226,62.189655,no
350,2655.914307,36.686226,62.189655,no
400,2655.914307,36.686226,62.189655,no
450,2655.914307,36.686226,62.189655,no
500,2655.914307,36.686226,62.189655,no
550,2655.914307,36.686226,62.189655,no
600,2655.914307,36.686226,62.189655,no
650,2655.914307,36.686226,62.189655,no
700,2655.914307,36.686226,62.189655,no
750,2655.914307,36.686226,62.189655,no
800,2655.914307,36.686226,62.189655,si
850,2655.914307,36.686226,62.189655,si
900,2655.914307,36.686226,62.189655,si
950,2655.914307,36.686226,62.189655,no
1000,2655.914307,36.686226,62.189655,no
1050,2655.914307,36.686226,62.189655,no
1100,2655.914307,36.686226,62.189655,no
1150,2655.914307,36.686226,62.189655,no
1200,2655.914307,36.686226,62.189655,no
1250,2655.914307,36.686226,62.189655,no
1300,2655.914307,36.686226,62.189655,no
1350,2655.914307,36.686226,62.189655,no
1400,2655.914307,36.686226,62.189655,no
1450,2655.914307,36.686226,62.189655,no
1500,2655.914307,36.686226,62.189655,no
1550,2655.914307,36.686226,62.189655,no
1600,2655.914307,36.686226,62.189655,no
1650,2655.914307,36.686226,62.189655,no
1700,2655.914307,36.686226,62.189655,no
1750,2655.914307,36.686226,62.189655,no
1800,2655.914307,36.686226,62.189655,no
1850,2655.914307,36.686226,62.189655,no
1900,2655.914307,36.686226,62.189655,no
