@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric
@attribute llegaAPlataforma {no,si}

@data
750,2661.836182,36.849998,110.943039,no
800,2661.726807,36.846977,110.943039,no
850,2661.726807,36.846977,110.943039,no
900,2661.814453,36.849403,110.943039,no
950,2661.726807,36.846977,110.943039,no
1000,2661.831787,36.849884,110.943039,no
1050,2661.814453,36.849403,110.943039,no
1100,2661.726807,36.846977,110.943039,no
1150,2661.726807,36.846977,110.943039,no
1200,2661.726807,36.846977,110.943039,no
1250,2661.814453,36.849403,110.943039,no
1300,2661.814453,36.849403,110.943039,no
1350,2661.835205,36.849983,110.943039,no
1400,2661.814453,36.849403,110.943039,no
1450,2661.814453,36.849403,110.943039,no
1500,2661.814453,36.849403,110.943039,si
