@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric

@data
0,686.700012,-40,0
0,686.700012,-39,0
0,686.700012,-38,0
0,686.700012,-37,0
0,686.700012,-36,0
0,686.700012,-35,0
0,686.700012,-34,0
0,686.700012,-33,0
0,686.700012,-32,0
0,686.700012,-31,0
0,686.700012,-30,0
0,686.700012,-29,0
0,686.700012,-28,0
0,686.700012,-27,0
0,686.700012,-26,0
0,686.700012,-25,0
0,686.700012,-24,0
0,686.700012,-23,0
0,686.700012,-22,0
0,686.700012,-21,0
0,686.700012,-20,0
0,686.700012,-19,0
0,686.700012,-18,0
0,686.700012,-17,0
0,686.700012,-16,0
0,686.700012,-15,0
0,686.700012,-14,0
0,686.700012,-13,0
0,686.700012,-12,0
0,686.700012,-11,0
0,686.700012,-10,0
0,686.700012,-9,0
0,686.700012,-8,0
0,686.700012,-7,0
0,686.700012,-6,0
0,686.700012,-5,0
0,686.700012,-4,0
0,686.700012,-3,0
0,686.700012,-2,0
0,686.700012,-1,0
0,686.700012,0,0
20,686.700012,-40,1.053925
20,686.700012,-39,1.044601
20,686.700012,-38,1.035259
20,686.700012,-37,1.025899
20,686.700012,-36,1.01652
20,686.700012,-35,1.007121
20,686.700012,-34,1.002415
20,686.700012,-33,0.992989
20,686.700012,-32,0.983543
20,686.700012,-31,0.974079
20,686.700012,-30,0.964596
20,686.700012,-29,0.955093
20,686.700012,-28,0.945572
20,686.700012,-27,0.936031
20,686.700012,-26,0.921685
20,686.700012,-25,0.912097
20,686.700012,-24,0.902489
20,686.700012,-23,0.892863
20,686.700012,-22,0.883217
20,686.700012,-21,0.868711
20,686.700012,-20,0.859017
20,686.700012,-19,0.849304
20,686.700012,-18,0.834697
20,686.700012,-17,0.824934
20,686.700012,-16,0.810254
20,686.700012,-15,0.800442
20,686.700012,-14,0.785688
20,686.700012,-13,0.77089
20,686.700012,-12,0.756048
20,686.700012,-11,0.746128
20,686.700012,-10,0.731211
20,686.700012,-9,0.711251
20,686.700012,-8,0.696229
20,686.700012,-7,0.681162
20,686.700012,-6,0.661002
20,686.700012,-5,0.645829
20,686.700012,-4,0.625527
20,686.700012,-3,0.605144
20,686.700012,-2,0.584679
20,686.700012,-1,0.558982
20,686.700012,0,0.533157
40,686.700012,-40,2.107848
40,686.700012,-39,2.089201
40,686.700012,-38,2.070517
40,686.700012,-37,2.051795
40,686.700012,-36,2.033037
40,686.700012,-35,2.01424
40,686.700012,-34,2.004828
40,686.700012,-33,1.985975
40,686.700012,-32,1.967084
40,686.700012,-31,1.948156
40,686.700012,-30,1.929189
40,686.700012,-29,1.910184
40,686.700012,-28,1.891141
40,686.700012,-27,1.87206
40,686.700012,-26,1.843367
40,686.700012,-25,1.824191
40,686.700012,-24,1.804976
40,686.700012,-23,1.785723
40,686.700012,-22,1.766431
40,686.700012,-21,1.737421
40,686.700012,-20,1.718032
40,686.700012,-19,1.698605
40,686.700012,-18,1.66939
40,686.700012,-17,1.649865
40,686.700012,-16,1.620504
40,686.700012,-15,1.600882
40,686.700012,-14,1.571374
40,686.700012,-13,1.541778
40,686.700012,-12,1.512092
40,686.700012,-11,1.492252
40,686.700012,-10,1.462418
40,686.700012,-9,1.422499
40,686.700012,-8,1.392456
40,686.700012,-7,1.362321
40,686.700012,-6,1.322001
40,686.700012,-5,1.291655
40,686.700012,-4,1.251051
40,686.700012,-3,1.210285
40,686.700012,-2,1.169355
40,686.700012,-1,1.117962
40,686.700012,0,1.066311
60,686.700012,-40,3.161767
60,686.700012,-39,3.133797
60,686.700012,-38,3.105771
60,686.700012,-37,3.077689
60,686.700012,-36,3.049551
60,686.700012,-35,3.021356
60,686.700012,-34,3.007237
60,686.700012,-33,2.978958
60,686.700012,-32,2.950622
60,686.700012,-31,2.922229
60,686.700012,-30,2.893779
60,686.700012,-29,2.865272
60,686.700012,-28,2.836709
60,686.700012,-27,2.808088
60,686.700012,-26,2.765049
60,686.700012,-25,2.736284
60,686.700012,-24,2.707462
60,686.700012,-23,2.678582
60,686.700012,-22,2.649644
60,686.700012,-21,2.606129
60,686.700012,-20,2.577046
60,686.700012,-19,2.547905
60,686.700012,-18,2.504084
60,686.700012,-17,2.474797
60,686.700012,-16,2.430756
60,686.700012,-15,2.401322
60,686.700012,-14,2.35706
60,686.700012,-13,2.312666
60,686.700012,-12,2.268137
60,686.700012,-11,2.238378
60,686.700012,-10,2.193626
60,686.700012,-9,2.133748
60,686.700012,-8,2.088682
60,686.700012,-7,2.04348
60,686.700012,-6,1.983
60,686.700012,-5,1.937481
60,686.700012,-4,1.876575
60,686.700012,-3,1.815426
60,686.700012,-2,1.754031
60,686.700012,-1,1.676942
60,686.700012,0,1.599466
80,686.700012,-40,4.215691
80,686.700012,-39,4.178398
80,686.700012,-38,4.14103
80,686.700012,-37,4.103587
80,686.700012,-36,4.066069
80,686.700012,-35,4.028476
80,686.700012,-34,4.009651
80,686.700012,-33,3.971945
80,686.700012,-32,3.934164
80,686.700012,-31,3.896307
80,686.700012,-30,3.858374
80,686.700012,-29,3.820365
80,686.700012,-28,3.78228
80,686.700012,-27,3.744119
80,686.700012,-26,3.686733
80,686.700012,-25,3.648381
80,686.700012,-24,3.609951
80,686.700012,-23,3.571445
80,686.700012,-22,3.532861
80,686.700012,-21,3.474841
80,686.700012,-20,3.436064
80,686.700012,-19,3.397209
80,686.700012,-18,3.33878
80,686.700012,-17,3.299731
80,686.700012,-16,3.24101
80,686.700012,-15,3.201765
80,686.700012,-14,3.142749
80,686.700012,-13,3.083556
80,686.700012,-12,3.024185
80,686.700012,-11,2.984505
80,686.700012,-10,2.924837
80,686.700012,-9,2.844999
80,686.700012,-8,2.78491
80,686.700012,-7,2.724641
80,686.700012,-6,2.644001
80,686.700012,-5,2.583309
80,686.700012,-4,2.502101
80,686.700012,-3,2.420569
80,686.700012,-2,2.338709
80,686.700012,-1,2.235923
80,686.700012,0,2.132621
100,686.700012,-40,5.269613
100,686.700012,-39,5.222997
100,686.700012,-38,5.176287
100,686.700012,-37,5.129483
100,686.700012,-36,5.082586
100,686.700012,-35,5.035595
100,686.700012,-34,5.012064
100,686.700012,-33,4.964931
100,686.700012,-32,4.917705
100,686.700012,-31,4.870384
100,686.700012,-30,4.822968
100,686.700012,-29,4.775456
100,686.700012,-28,4.72785
100,686.700012,-27,4.680148
100,686.700012,-26,4.608417
100,686.700012,-25,4.560475
100,686.700012,-24,4.512439
100,686.700012,-23,4.464306
100,686.700012,-22,4.416076
100,686.700012,-21,4.343551
100,686.700012,-20,4.295079
100,686.700012,-19,4.246511
100,686.700012,-18,4.173475
100,686.700012,-17,4.124663
100,686.700012,-16,4.051262
100,686.700012,-15,4.002205
100,686.700012,-14,3.928436
100,686.700012,-13,3.854445
100,686.700012,-12,3.780231
100,686.700012,-11,3.730631
100,686.700012,-10,3.656045
100,686.700012,-9,3.556249
100,686.700012,-8,3.481139
100,686.700012,-7,3.405803
100,686.700012,-6,3.305002
100,686.700012,-5,3.229136
100,686.700012,-4,3.127628
100,686.700012,-3,3.025712
100,686.700012,-2,2.923388
100,686.700012,-1,2.794906
100,686.700012,0,2.665779
120,686.700012,-40,6.323539
120,686.700012,-39,6.2676
120,686.700012,-38,6.211548
120,686.700012,-37,6.155383
120,686.700012,-36,6.099107
120,686.700012,-35,6.042717
120,686.700012,-34,6.01448
120,686.700012,-33,5.957921
120,686.700012,-32,5.901249
120,686.700012,-31,5.844463
120,686.700012,-30,5.787564
120,686.700012,-29,5.73055
120,686.700012,-28,5.673423
120,686.700012,-27,5.616181
120,686.700012,-26,5.530103
120,686.700012,-25,5.472573
120,686.700012,-24,5.414929
120,686.700012,-23,5.357169
120,686.700012,-22,5.299294
120,686.700012,-21,5.212263
120,686.700012,-20,5.154098
120,686.700012,-19,5.095816
120,686.700012,-18,5.008173
120,686.700012,-17,4.949599
120,686.700012,-16,4.861517
120,686.700012,-15,4.802649
120,686.700012,-14,4.714125
120,686.700012,-13,4.625336
120,686.700012,-12,4.536279
120,686.700012,-11,4.476759
120,686.700012,-10,4.387256
120,686.700012,-9,4.2675
120,686.700012,-8,4.177368
120,686.700012,-7,4.086965
120,686.700012,-6,3.966004
120,686.700012,-5,3.874965
120,686.700012,-4,3.753155
120,686.700012,-3,3.630856
120,686.700012,-2,3.508067
120,686.700012,-1,3.353888
120,686.700012,0,3.198935
140,686.700012,-40,7.377458
140,686.700012,-39,7.312195
140,686.700012,-38,7.246801
140,686.700012,-37,7.181276
140,686.700012,-36,7.11562
140,686.700012,-35,7.049833
140,686.700012,-34,7.01689
140,686.700012,-33,6.950904
140,686.700012,-32,6.884787
140,686.700012,-31,6.818537
140,686.700012,-30,6.752154
140,686.700012,-29,6.685638
140,686.700012,-28,6.618989
140,686.700012,-27,6.552207
140,686.700012,-26,6.451783
140,686.700012,-25,6.384665
140,686.700012,-24,6.317414
140,686.700012,-23,6.250028
140,686.700012,-22,6.182506
140,686.700012,-21,6.080971
140,686.700012,-20,6.013111
140,686.700012,-19,5.945115
140,686.700012,-18,5.842865
140,686.700012,-17,5.774529
140,686.700012,-16,5.671766
140,686.700012,-15,5.603087
140,686.700012,-14,5.499809
140,686.700012,-13,5.396222
140,686.700012,-12,5.292322
140,686.700012,-11,5.222883
140,686.700012,-10,5.118463
140,686.700012,-9,4.978747
140,686.700012,-8,4.873593
140,686.700012,-7,4.768123
140,686.700012,-6,4.627002
140,686.700012,-5,4.520791
140,686.700012,-4,4.378678
140,686.700012,-3,4.235996
140,686.700012,-2,4.092742
140,686.700012,-1,3.912866
140,686.700012,0,3.732088
160,686.700012,-40,8.431385
160,686.700012,-39,8.356799
160,686.700012,-38,8.282063
160,686.700012,-37,8.207177
160,686.700012,-36,8.132142
160,686.700012,-35,8.056956
160,686.700012,-34,8.019306
160,686.700012,-33,7.943895
160,686.700012,-32,7.868332
160,686.700012,-31,7.792618
160,686.700012,-30,7.716752
160,686.700012,-29,7.640734
160,686.700012,-28,7.564564
160,686.700012,-27,7.488241
160,686.700012,-26,7.37347
160,686.700012,-25,7.296764
160,686.700012,-24,7.219905
160,686.700012,-23,7.142892
160,686.700012,-22,7.065725
160,686.700012,-21,6.949684
160,686.700012,-20,6.87213
160,686.700012,-19,6.79442
160,686.700012,-18,6.677564
160,686.700012,-17,6.599464
160,686.700012,-16,6.482022
160,686.700012,-15,6.403531
160,686.700012,-14,6.2855
160,686.700012,-13,6.167113
160,686.700012,-12,6.048371
160,686.700012,-11,5.969011
160,686.700012,-10,5.849674
160,686.700012,-9,5.689999
160,686.700012,-8,5.569823
160,686.700012,-7,5.449286
160,686.700012,-6,5.288005
160,686.700012,-5,5.16662
160,686.700012,-4,5.004206
160,686.700012,-3,4.841141
160,686.700012,-2,4.677422
160,686.700012,-1,4.471849
160,686.700012,0,4.265245
180,686.700012,-40,9.4853
180,686.700012,-39,9.401391
180,686.700012,-38,9.317313
180,686.700012,-37,9.233068
180,686.700012,-36,9.148652
180,686.700012,-35,9.064068
180,686.700012,-34,9.021712
180,686.700012,-33,8.936874
180,686.700012,-32,8.851866
180,686.700012,-31,8.766687
180,686.700012,-30,8.681338
180,686.700012,-29,8.595819
180,686.700012,-28,8.510127
180,686.700012,-27,8.424264
180,686.700012,-26,8.295147
180,686.700012,-25,8.208854
180,686.700012,-24,8.122387
180,686.700012,-23,8.035748
180,686.700012,-22,7.948934
180,686.700012,-21,7.818388
180,686.700012,-20,7.73114
180,686.700012,-19,7.643717
180,686.700012,-18,7.512253
180,686.700012,-17,7.424392
180,686.700012,-16,7.292269
180,686.700012,-15,7.203967
180,686.700012,-14,7.071181
180,686.700012,-13,6.937997
180,686.700012,-12,6.804412
180,686.700012,-11,6.715133
180,686.700012,-10,6.580878
180,686.700012,-9,6.401244
180,686.700012,-8,6.266046
180,686.700012,-7,6.130441
180,686.700012,-6,5.949001
180,686.700012,-5,5.812443
180,686.700012,-4,5.629728
180,686.700012,-3,5.44628
180,686.700012,-2,5.262096
180,686.700012,-1,5.030828
180,686.700012,0,4.798399
200,686.700012,-40,10.539221
200,686.700012,-39,10.445988
200,686.700012,-38,10.352569
200,686.700012,-37,10.258962
200,686.700012,-36,10.165167
200,686.700012,-35,10.071185
200,686.700012,-34,10.024123
200,686.700012,-33,9.929859
200,686.700012,-32,9.835405
200,686.700012,-31,9.740763
200,686.700012,-30,9.64593
200,686.700012,-29,9.550908
200,686.700012,-28,9.455696
200,686.700012,-27,9.360292
200,686.700012,-26,9.216829
200,686.700012,-25,9.120948
200,686.700012,-24,9.024874
200,686.700012,-23,8.928608
200,686.700012,-22,8.832149
200,686.700012,-21,8.687098
200,686.700012,-20,8.590155
200,686.700012,-19,8.493018
200,686.700012,-18,8.346948
200,686.700012,-17,8.249324
200,686.700012,-16,8.102521
200,686.700012,-15,8.004407
200,686.700012,-14,7.856868
200,686.700012,-13,7.708885
200,686.700012,-12,7.560458
200,686.700012,-11,7.461258
200,686.700012,-10,7.312087
200,686.700012,-9,7.112493
200,686.700012,-8,6.962273
200,686.700012,-7,6.811601
200,686.700012,-6,6.610001
200,686.700012,-5,6.45827
200,686.700012,-4,6.255253
200,686.700012,-3,6.051422
200,686.700012,-2,5.846773
200,686.700012,-1,5.589808
200,686.700012,0,5.331553
220,686.700012,-40,11.593143
220,686.700012,-39,11.490586
220,686.700012,-38,11.387825
220,686.700012,-37,11.284857
220,686.700012,-36,11.181684
220,686.700012,-35,11.078302
220,686.700012,-34,11.026535
220,686.700012,-33,10.922844
220,686.700012,-32,10.818945
220,686.700012,-31,10.714838
220,686.700012,-30,10.610522
220,686.700012,-29,10.505999
220,686.700012,-28,10.401264
220,686.700012,-27,10.29632
220,686.700012,-26,10.138511
220,686.700012,-25,10.033041
220,686.700012,-24,9.92736
220,686.700012,-23,9.821466
220,686.700012,-22,9.715362
220,686.700012,-21,9.555806
220,686.700012,-20,9.449169
220,686.700012,-19,9.342319
220,686.700012,-18,9.181641
220,686.700012,-17,9.074254
220,686.700012,-16,8.912771
220,686.700012,-15,8.804846
220,686.700012,-14,8.642553
220,686.700012,-13,8.479773
220,686.700012,-12,8.316502
220,686.700012,-11,8.207383
220,686.700012,-10,8.043294
220,686.700012,-9,7.823741
220,686.700012,-8,7.658499
220,686.700012,-7,7.49276
220,686.700012,-6,7.270999
220,686.700012,-5,7.104095
220,686.700012,-4,6.880776
220,686.700012,-3,6.656562
220,686.700012,-2,6.431448
220,686.700012,-1,6.148787
220,686.700012,0,5.864707
240,686.700012,-40,12.647076
240,686.700012,-39,12.535196
240,686.700012,-38,12.423092
240,686.700012,-37,12.310764
240,686.700012,-36,12.19821
240,686.700012,-35,12.085432
240,686.700012,-34,12.028957
240,686.700012,-33,11.91584
240,686.700012,-32,11.802495
240,686.700012,-31,11.688923
240,686.700012,-30,11.575125
240,686.700012,-29,11.461098
240,686.700012,-28,11.346842
240,686.700012,-27,11.232358
