@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric
@attribute llegaAPlataforma {no,si}

@data
2450,1311.819702,8.950005,90.966957,no
2500,1311.819702,8.950005,90.966743,no
2550,1311.819702,8.950005,90.966225,no
2600,1311.819702,8.950005,90.966072,no
2650,1311.819702,8.950005,90.965492,no
0,2407.720703,30.149986,93.770905,no
50,2407.720947,30.149994,93.770905,no
100,2407.720947,30.149994,93.867462,no
150,2407.720947,30.149994,93.770317,no
200,2407.720947,30.149994,93.769997,no
250,2407.720947,30.149994,93.769409,no
300,2407.720947,30.149994,93.769409,no
350,2407.720947,30.149994,93.769249,no
400,2407.720947,30.149994,93.768494,no
450,2407.720947,30.149994,93.768494,no
500,2407.720947,30.149994,93.767906,no
550,2407.720947,30.149994,93.767906,no
600,2407.720947,30.149994,93.767212,no
650,2407.720947,30.149994,93.766998,no
700,2407.720947,30.149994,93.766998,no
750,2407.720947,30.149994,93.766411,no
800,2407.720947,30.149994,93.766411,no
850,2407.720947,30.149994,93.765495,no
900,2407.720947,30.149994,93.765495,no
950,2407.720947,30.149994,93.765335,no
1000,2407.720947,30.149994,93.764908,no
1050,2407.720947,30.149994,93.764656,no
1100,2407.720947,30.149994,93.763992,no
1150,2407.720947,30.149994,93.763992,no
1200,2407.720947,30.149994,93.763596,no
1250,2407.720947,30.149994,93.763405,no
1300,2407.720947,30.149994,93.763084,no
1350,2407.720947,30.149994,93.757736,si
1400,2407.720947,30.149994,93.770905,si
1450,2407.720947,30.149994,93.770905,no
1500,2407.720947,30.149994,91.425323,no
1550,2407.720947,30.149994,93.761421,no
1600,2407.720947,30.149994,93.760994,no
1650,2407.720947,30.149994,93.760994,no
1700,2407.720947,30.149994,93.7603,no
1750,2407.720947,30.149994,93.760086,no
1800,2407.720947,30.149994,93.759766,no
1850,2407.720947,30.149994,93.759499,no
0,2661.835205,36.849983,110.943039,no
50,2661.836182,36.850006,110.943039,no
100,2661.836182,36.850006,110.942368,no
150,2661.836182,36.850006,110.942368,no
200,2661.836182,36.850006,110.942368,no
250,2661.836182,36.850006,110.941696,no
300,2661.836182,36.850006,110.941696,no
350,2661.836182,36.850006,110.941025,no
400,2661.836182,36.850006,110.941025,no
450,2661.836182,36.850006,110.940353,no
500,2661.836182,36.850006,110.940353,no
550,2661.836182,36.850006,110.940292,no
600,2661.836182,36.850006,110.93969,no
650,2661.836182,36.850006,110.93969,no
700,2661.836182,36.850006,110.939018,no
750,2661.836182,36.850006,110.939018,no
800,2661.836182,36.850006,110.938347,no
850,2661.836182,36.850006,110.938347,no
900,2661.836182,36.850006,110.937706,no
950,2661.836182,36.850006,110.93763,no
1000,2661.836182,36.850006,110.937424,no
1050,2661.836182,36.850006,110.936966,no
1100,2661.836182,36.850006,110.936966,no
1150,2661.836182,36.850006,110.936295,no
1200,2661.836182,36.850006,110.936295,no
1250,2661.836182,36.850006,110.935654,no
1300,2661.836182,36.850006,110.935623,no
1350,2661.836182,36.850006,110.934952,no
1400,2661.836182,36.850006,110.934952,no
1450,2661.836182,36.850006,110.934647,no
1500,2661.836182,36.850006,110.932274,si
1550,2661.836182,36.850006,110.932091,si
1600,2661.836182,36.850006,110.931602,no
1650,2661.836182,36.850006,110.933617,no
1700,2661.836182,36.850006,110.932945,no
1750,2661.836182,36.850006,110.932945,no
1800,2661.836182,36.850006,110.932274,no
1850,2661.836182,36.850006,110.932274,no
1900,2661.836182,36.850006,110.931602,no
1950,2661.836182,36.850006,110.931602,no
2000,2661.836182,36.850006,110.931602,no
