@relation ExperienciaSalto

@attribute fuerzaX numeric
@attribute fuerzaY numeric
@attribute alturaObjetivo numeric
@attribute distanciaObjetivo numeric

@data
0,438.492889,1,0
0,620.12262,2,0
0,759.491943,3,0
0,876.985779,4,0
0,980.499878,5,0
0,1074.08374,6,0
0,1160.143066,7,0
0,1240.245239,8,0
0,1315.478516,9,0
0,1386.63623,10,0
0,1454.316284,11,0
0,1518.983887,12,0
0,1581.008545,13,0
0,1640.690186,14,0
0,1698.275635,15,0
0,1753.971558,16,0
0,1807.952515,17,0
0,1860.367676,18,0
0,1911.346191,19,0
0,1960.999756,20,0
0,2009.426758,21,0
0,2056.713867,22,0
20,438.492889,1,0.386121
20,620.12262,2,0.486343
20,759.491943,3,0.558981
20,876.985779,4,0.625526
20,980.499878,5,0.68116
20,1074.08374,6,0.731209
20,1160.143066,7,0.775827
20,1240.245239,8,0.820044
20,1315.478516,9,0.859016
20,1386.63623,10,0.897677
20,1454.316284,11,0.931253
20,1518.983887,12,0.964594
20,1581.008545,13,0.992987
20,1640.690186,14,1.025897
20,1698.275635,15,1.053923
20,1753.971558,16,1.081781
20,1807.952515,17,1.109473
20,1860.367676,18,1.132422
20,1911.346191,19,1.155257
20,1960.999756,20,1.182509
20,2009.426758,21,1.205095
20,2056.713867,22,1.227567
40,438.492889,1,0.772243
40,620.12262,2,0.972686
40,759.491943,3,1.117962
40,876.985779,4,1.251051
40,980.499878,5,1.362321
40,1074.08374,6,1.462418
40,1160.143066,7,1.551653
40,1240.245239,8,1.640089
40,1315.478516,9,1.718032
40,1386.63623,10,1.795354
40,1454.316284,11,1.862505
40,1518.983887,12,1.929187
40,1581.008545,13,1.985973
40,1640.690186,14,2.051794
40,1698.275635,15,2.107846
40,1753.971558,16,2.163562
40,1807.952515,17,2.218945
40,1860.367676,18,2.264844
40,1911.346191,19,2.310515
40,1960.999756,20,2.365019
40,2009.426758,21,2.410189
40,2056.713867,22,2.455134
60,438.492889,1,1.158364
60,620.12262,2,1.459029
60,759.491943,3,1.676943
60,876.985779,4,1.876576
60,980.499878,5,2.043481
60,1074.08374,6,2.193627
60,1160.143066,7,2.32748
60,1240.245239,8,2.460132
60,1315.478516,9,2.577048
60,1386.63623,10,2.693031
60,1454.316284,11,2.793757
60,1518.983887,12,2.893781
60,1581.008545,13,2.97896
60,1640.690186,14,3.077691
60,1698.275635,15,3.161769
60,1753.971558,16,3.245344
60,1807.952515,17,3.328418
60,1860.367676,18,3.397267
60,1911.346191,19,3.465772
60,1960.999756,20,3.547528
60,2009.426758,21,3.615283
60,2056.713867,22,3.6827
80,438.492889,1,1.544485
80,620.12262,2,1.945372
80,759.491943,3,2.235924
80,876.985779,4,2.502102
80,980.499878,5,2.724642
80,1074.08374,6,2.924836
80,1160.143066,7,3.103307
80,1240.245239,8,3.280177
80,1315.478516,9,3.436064
80,1386.63623,10,3.590708
80,1454.316284,11,3.72501
80,1518.983887,12,3.858375
80,1581.008545,13,3.971946
80,1640.690186,14,4.103588
80,1698.275635,15,4.215692
80,1753.971558,16,4.327124
80,1807.952515,17,4.43789
80,1860.367676,18,4.529689
80,1911.346191,19,4.621029
80,1960.999756,20,4.730037
80,2009.426758,21,4.820379
80,2056.713867,22,4.910269
100,438.492889,1,1.930606
100,620.12262,2,2.431714
100,759.491943,3,2.794904
100,876.985779,4,3.127626
100,980.499878,5,3.4058
100,1074.08374,6,3.656043
100,1160.143066,7,3.879131
100,1240.245239,8,4.100219
100,1315.478516,9,4.295077
100,1386.63623,10,4.488382
100,1454.316284,11,4.656259
100,1518.983887,12,4.822965
100,1581.008545,13,4.96493
100,1640.690186,14,5.129481
100,1698.275635,15,5.26961
100,1753.971558,16,5.408901
100,1807.952515,17,5.547359
100,1860.367676,18,5.662107
100,1911.346191,19,5.776283
100,1960.999756,20,5.912542
100,2009.426758,21,6.025467
100,2056.713867,22,6.137829
120,438.492889,1,2.316727
120,620.12262,2,2.918057
120,759.491943,3,3.353885
120,876.985779,4,3.753153
120,980.499878,5,4.086962
120,1074.08374,6,4.387253
120,1160.143066,7,4.654959
120,1240.245239,8,4.920265
120,1315.478516,9,5.154095
120,1386.63623,10,5.386062
120,1454.316284,11,5.587514
120,1518.983887,12,5.787562
120,1581.008545,13,5.95792
120,1640.690186,14,6.155382
120,1698.275635,15,6.323538
120,1753.971558,16,6.490687
120,1807.952515,17,6.656836
120,1860.367676,18,9.01101
120,1911.346191,19,6.931545
120,1960.999756,20,7.095055
120,2009.426758,21,7.230566
120,2056.713867,22,7.365401
140,438.492889,1,2.702849
140,620.12262,2,3.404401
140,759.491943,3,3.912866
140,876.985779,4,4.378678
140,980.499878,5,4.768123
140,1074.08374,6,5.118463
140,1160.143066,7,5.430786
140,1240.245239,8,5.740309
140,1315.478516,9,6.013111
140,1386.63623,10,6.283739
140,1454.316284,11,8.264015
140,1518.983887,12,6.752155
140,1581.008545,13,6.950905
140,1640.690186,14,7.181278
140,1698.275635,15,7.37746
140,1753.971558,16,9.703797
140,1807.952515,17,7.766308
140,1860.367676,18,7.926956
140,1911.346191,19,8.086802
140,1960.999756,20,8.277564
140,2009.426758,21,8.43566
140,2056.713867,22,8.592969
160,438.492889,1,3.088971
160,620.12262,2,3.416024
160,759.491943,3,4.471848
160,876.985779,4,5.004204
160,980.499878,5,5.449284
160,1074.08374,6,5.849672
160,1160.143066,7,6.206614
160,1240.245239,8,6.560355
160,1315.478516,9,6.872128
160,1386.63623,10,7.181416
160,1454.316284,11,7.45002
160,1518.983887,12,7.716749
160,1581.008545,13,7.943892
160,1640.690186,14,2.480992
160,1698.275635,15,8.431383
160,1753.971558,16,8.654248
160,1807.952515,17,6.746404
160,1860.367676,18,5.790214
160,1911.346191,19,9.242059
160,1960.999756,20,9.460074
160,2009.426758,21,9.640758
160,2056.713867,22,9.820538
180,438.492889,1,1.237776
180,620.12262,2,4.377087
180,759.491943,3,4.982082
180,876.985779,4,5.629729
180,980.499878,5,1.33775
180,1074.08374,6,6.580879
180,1160.143066,7,6.982437
180,1240.245239,8,7.380395
180,1315.478516,9,7.731141
180,1386.63623,10,8.07909
180,1454.316284,11,8.381269
180,1518.983887,12,8.681339
180,1581.008545,13,8.936874
180,1640.690186,14,9.233068
180,1698.275635,15,9.485301
180,1753.971558,16,9.736025
180,1807.952515,17,9.985249
180,1860.367676,18,8.626899
180,1911.346191,19,10.397312
180,1960.999756,20,10.642579
180,2009.426758,21,10.845845
180,2056.713867,22,3.929216
200,438.492889,1,3.861212
200,620.12262,2,4.863428
200,759.491943,3,5.589807
200,876.985779,4,6.255252
200,980.499878,5,6.811601
200,1074.08374,6,7.312086
200,1160.143066,7,7.758261
200,1240.245239,8,8.200438
200,1315.478516,9,8.590154
200,1386.63623,10,8.976764
200,1454.316284,11,9.312518
200,1518.983887,12,9.64593
200,1581.008545,13,9.929859
200,1640.690186,14,10.258963
200,1698.275635,15,10.53922
200,1753.971558,16,10.817802
200,1807.952515,17,11.094718
200,1860.367676,18,11.324215
200,1911.346191,19,11.552567
200,1960.999756,20,11.825084
200,2009.426758,21,18.743917
200,2056.713867,22,12.275659
220,438.492889,1,4.247334
220,620.12262,2,5.349771
220,759.491943,3,6.148789
220,876.985779,4,6.880779
220,980.499878,5,8.116838
220,1074.08374,6,2.696588
220,1160.143066,7,8.534089
220,1240.245239,8,9.020483
220,1315.478516,9,9.449172
220,1386.63623,10,9.874444
220,1454.316284,11,10.243774
220,1518.983887,12,10.610526
220,1581.008545,13,10.922848
220,1640.690186,14,11.284862
220,1698.275635,15,11.593148
220,1753.971558,16,11.899588
220,1807.952515,17,12.204194
220,1860.367676,18,12.456641
220,1911.346191,19,12.707827
220,1960.999756,20,13.007597
220,2009.426758,21,13.256034
220,2056.713867,22,13.503231
240,438.492889,1,4.633455
240,620.12262,2,3.821012
240,759.491943,3,6.70777
240,876.985779,4,7.506305
240,980.499878,5,8.173923
240,1074.08374,6,8.774507
240,1160.143066,7,9.309918
240,1240.245239,8,9.840529
240,1315.478516,9,10.30819
240,1386.63623,10,10.772123
240,1454.316284,11,4.47477
240,1518.983887,12,11.575125
240,1581.008545,13,11.915839
240,1640.690186,14,12.310763
240,1698.275635,15,12.647076
240,1753.971558,16,18.562023
240,1807.952515,17,13.313672
240,1860.367676,18,8.272795
240,1911.346191,19,13.86309
240,1960.999756,20,14.19011
240,2009.426758,21,14.461132
240,2056.713867,22,14.730802
260,438.492889,1,5.019578
260,620.12262,2,6.32246
260,759.491943,3,7.266753
260,876.985779,4,4.125921
260,980.499878,5,8.855086
260,1074.08374,6,9.505717
260,1160.143066,7,10.085745
260,1240.245239,8,10.660574
260,1315.478516,9,11.167206
260,1386.63623,10,11.6698
260,1454.316284,11,12.106281
260,1518.983887,12,3.4949
260,1581.008545,13,12.908823
260,1640.690186,14,13.336658
260,1698.275635,15,13.700995
260,1753.971558,16,5.79909
260,1807.952515,17,14.423142
260,1860.367676,18,14.721487
260,1911.346191,19,6.381676
260,1960.999756,20,15.372619
260,2009.426758,21,15.666226
260,2056.713867,22,15.958368
280,438.492889,1,4.71982
280,620.12262,2,6.808802
280,759.491943,3,7.825733
280,876.985779,4,8.757357
280,980.499878,5,9.536245
280,1074.08374,6,4.821593
280,1160.143066,7,10.861571
280,1240.245239,8,11.480618
280,1315.478516,9,12.026222
280,1386.63623,10,12.567478
280,1454.316284,11,5.098758
280,1518.983887,12,13.504311
280,1581.008545,13,13.901811
280,1640.690186,14,14.362556
280,1698.275635,15,5.602114
280,1753.971558,16,15.144935
280,1807.952515,17,15.532617
280,1860.367676,18,15.853911
280,1911.346191,19,16.173603
280,1960.999756,20,16.555128
280,2009.426758,21,16.871321
280,2056.713867,22,17.185938
300,438.492889,1,5.791819
300,620.12262,2,7.295142
300,759.491943,3,8.384711
300,876.985779,4,9.382879
300,980.499878,5,5.794548
300,1074.08374,6,10.968132
300,1160.143066,7,11.637397
300,1240.245239,8,12.30066
300,1315.478516,9,12.885235
300,1386.63623,10,13.46515
300,1454.316284,11,13.968781
300,1518.983887,12,14.4689
300,1581.008545,13,14.894793
300,1640.690186,14,6.343176
300,1698.275635,15,15.808839
300,1753.971558,16,16.226713
300,1807.952515,17,16.642086
300,1860.367676,18,16.986332
300,1911.346191,19,17.328857
300,1960.999756,20,17.737635
300,2009.426758,21,18.076412
300,2056.713867,22,18.413498
320,438.492889,1,6.177941
320,620.12262,2,7.781488
320,759.491943,3,8.943695
320,876.985779,4,10.008409
320,980.499878,5,10.898567
320,1074.08374,6,11.699345
320,1160.143066,7,12.413227
320,1240.245239,8,13.120709
320,1315.478516,9,13.744257
320,1386.63623,10,14.362832
320,1454.316284,11,14.900041
320,1518.983887,12,15.433498
320,1581.008545,13,15.887784
320,1640.690186,14,16.414351
320,1698.275635,15,16.862766
320,1753.971558,16,17.308496
320,1807.952515,17,17.75156
320,1860.367676,18,18.118755
320,1911.346191,19,18.484118
320,1960.999756,20,18.920149
320,2009.426758,21,19.281515
320,2056.713867,22,19.641075
340,438.492889,1,6.564064
340,620.12262,2,8.267832
340,759.491943,3,9.502677
340,876.985779,4,10.633936
340,980.499878,5,11.579727
340,1074.08374,6,12.430552
340,1160.143066,7,13.189052
340,1240.245239,8,13.94075
340,1315.478516,9,14.603269
340,1386.63623,10,15.260506
340,1454.316284,11,15.831288
340,1518.983887,12,16.398088
340,1581.008545,13,16.880768
340,1640.690186,14,17.440247
340,1698.275635,15,17.916689
340,1753.971558,16,18.39028
340,1807.952515,17,18.861036
340,1860.367676,18,19.251179
340,1911.346191,19,19.639376
340,1960.999756,20,20.102655
340,2009.426758,21,20.486603
340,2056.713867,22,20.868635
360,438.492889,1,6.950183
360,620.12262,2,8.754173
360,759.491943,3,10.061656
360,876.985779,4,11.259458
360,980.499878,5,12.260884
360,1074.08374,6,13.161757
360,1160.143066,7,13.964873
360,1240.245239,8,14.76079
360,1315.478516,9,15.462282
360,1386.63623,10,16.15818
360,1454.316284,11,16.762539
360,1518.983887,12,17.362679
360,1581.008545,13,17.873749
360,1640.690186,14,18.466135
360,1698.275635,15,18.970602
360,1753.971558,16,19.47205
360,1807.952515,17,19.970497
360,1860.367676,18,20.383591
360,1911.346191,19,20.794624
360,1960.999756,20,21.285158
360,2009.426758,21,21.69169
360,2056.713867,22,22.096195
380,438.492889,1,7.336303
380,620.12262,2,9.240513
380,759.491943,3,10.620635
380,876.985779,4,11.884981
380,980.499878,5,12.942043
380,1074.08374,6,13.892966
380,1160.143066,7,14.740701
380,1240.245239,8,15.580836
380,1315.478516,9,16.321299
380,1386.63623,10,17.055859
380,1454.316284,11,17.693794
380,1518.983887,12,18.327276
380,1581.008545,13,18.866739
380,1640.690186,14,19.492035
380,1698.275635,15,20.024529
380,1753.971558,16,20.553835
380,1807.952515,17,21.079977
380,1860.367676,18,21.51602
380,1911.346191,19,21.949886
380,1960.999756,20,22.46767
380,2009.426758,21,22.896786
380,2056.713867,22,23.323763
400,438.492889,1,7.722424
400,620.12262,2,9.726855
400,759.491943,3,12.003695
400,876.985779,4,12.510505
400,980.499878,5,13.623201
400,1074.08374,6,14.624172
400,1160.143066,7,15.516522
400,1240.245239,8,16.400875
400,1315.478516,9,17.180307
400,1386.63623,10,17.953527
400,1454.316284,11,18.625036
400,1518.983887,12,19.291861
400,1581.008545,13,19.859718
400,1640.690186,14,20.517925
400,1698.275635,15,21.07844
400,1753.971558,16,21.635605
400,1807.952515,17,22.189436
400,1860.367676,18,22.64843
400,1911.346191,19,23.105133
400,1960.999756,20,23.650167
400,2009.426758,21,24.10187
400,2056.713867,22,24.551317
420,438.492889,1,8.108546
420,620.12262,2,10.893403
420,759.491943,3,11.738596
420,876.985779,4,13.136033
420,980.499878,5,14.304364
420,1074.08374,6,15.355386
420,1160.143066,7,16.292355
420,1240.245239,8,17.220926
420,1315.478516,9,18.03933
420,1386.63623,10,18.851212
420,1454.316284,11,19.556295
420,1518.983887,12,20.256462
420,1581.008545,13,20.852713
420,1640.690186,14,21.543829
420,1698.275635,15,22.132376
420,1753.971558,16,22.717398
420,1807.952515,17,23.29892
420,1860.367676,18,23.780861
420,1911.346191,19,24.260399
420,1960.999756,20,24.832684
420,2009.426758,21,25.306973
420,2056.713867,22,25.778896
440,438.492889,1,8.494667
440,620.12262,2,10.699543
440,759.491943,3,12.297578
440,876.985779,4,13.761558
440,980.499878,5,14.985523
440,1074.08374,6,16.086592
440,1160.143066,7,17.068178
440,1240.245239,8,18.040966
440,1315.478516,9,18.898344
440,1386.63623,10,19.748888
440,1454.316284,11,20.487549
440,1518.983887,12,21.221052
440,1581.008545,13,21.845695
440,1640.690186,14,22.569723
440,1698.275635,15,23.186296
440,1753.971558,16,23.799175
440,1807.952515,17,24.408388
440,1860.367676,18,24.913282
440,1911.346191,19,25.415653
440,1960.999756,20,26.015194
440,2009.426758,21,26.512068
440,2056.713867,22,27.006462
460,438.492889,1,8.88079
460,620.12262,2,11.185887
460,759.491943,3,12.856559
460,876.985779,4,14.387084
460,980.499878,5,15.666687
460,1074.08374,6,16.817804
460,1160.143066,7,17.844007
460,1240.245239,8,18.861012
460,1315.478516,9,19.75736
460,1386.63623,10,20.646564
460,1454.316284,11,21.4188
460,1518.983887,12,22.185646
460,1581.008545,13,22.838686
460,1640.690186,14,23.595625
460,1698.275635,15,24.240223
460,1753.971558,16,24.880966
460,1807.952515,17,25.51787
460,1860.367676,18,26.045712
460,1911.346191,19,26.570919
460,1960.999756,20,27.19771
460,2009.426758,21,27.717169
460,2056.713867,22,28.234035
480,438.492889,1,9.26691
480,620.12262,2,13.033627
480,759.491943,3,14.898018
480,876.985779,4,15.01261
480,980.499878,5,16.347847
480,1074.08374,6,17.549013
480,1160.143066,7,18.619837
480,1240.245239,8,19.681059
480,1315.478516,9,20.616381
480,1386.63623,10,21.544247
480,1454.316284,11,22.350058
480,1518.983887,12,23.150249
480,1581.008545,13,23.831678
480,1640.690186,14,24.621527
480,1698.275635,15,25.294151
480,1753.971558,16,25.962749
480,1807.952515,17,26.627344
480,1860.367676,18,27.178135
480,1911.346191,19,27.726179
480,1960.999756,20,28.38022
480,2009.426758,21,28.922264
480,2056.713867,22,29.461603
500,438.492889,1,9.653032
500,620.12262,2,13.774519
500,759.491943,3,13.974523
500,876.985779,4,15.638139
500,980.499878,5,17.029009
500,1074.08374,6,18.280226
500,1160.143066,7,19.395664
500,1240.245239,8,20.501104
500,1315.478516,9,21.475397
500,1386.63623,10,22.441923
500,1454.316284,11,23.281309
500,1518.983887,12,24.114838
500,1581.008545,13,24.824657
500,1640.690186,14,25.647413
500,1698.275635,15,26.348064
500,1753.971558,16,27.044523
500,1807.952515,17,27.736811
500,1860.367676,18,28.310551
500,1911.346191,19,28.88143
500,1960.999756,20,29.562725
500,2009.426758,21,30.127354
500,2056.713867,22,30.689163
520,438.492889,1,10.039157
520,620.12262,2,12.644919
520,759.491943,3,16.563354
520,876.985779,4,16.263666
520,980.499878,5,17.710173
520,1074.08374,6,19.011435
520,1160.143066,7,20.17149
520,1240.245239,8,21.321148
520,1315.478516,9,22.334412
520,1386.63623,10,23.3396
520,1454.316284,11,24.212563
520,1518.983887,12,25.079432
520,1581.008545,13,25.817646
520,1640.690186,14,26.673315
